"No.","Time","Source","Destination","Protocol","Length","Info"
"77","9.125212","192.168.100.1","192.168.100.102","TCP","134","8888  >  65382 [PSH, ACK] Seq=2495 Ack=283 Win=14600 Len=80"
"78","9.137035","192.168.100.102","192.168.100.1","UDP","51","54930  >  8085 Len=9"
"79","9.169722","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=283 Ack=2575 Win=64256 Len=0"
"80","9.173504","192.168.100.1","192.168.100.102","TCP","255","8888  >  65382 [PSH, ACK] Seq=2575 Ack=283 Win=14600 Len=201"
"81","9.215721","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=283 Ack=2776 Win=64256 Len=0"
"82","9.218719","192.168.100.1","192.168.100.102","TCP","174","8888  >  65382 [PSH, ACK] Seq=2776 Ack=283 Win=14600 Len=120"
"83","9.262474","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=283 Ack=2896 Win=64000 Len=0"
"84","9.265371","192.168.100.1","192.168.100.102","TCP","174","8888  >  65382 [PSH, ACK] Seq=2896 Ack=283 Win=14600 Len=120"
"85","9.309054","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=283 Ack=3016 Win=65280 Len=0"
"86","9.314398","192.168.100.1","192.168.100.102","TCP","134","8888  >  65382 [PSH, ACK] Seq=3016 Ack=283 Win=14600 Len=80"
"87","9.355804","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=283 Ack=3096 Win=65280 Len=0"
"88","9.358832","192.168.100.1","192.168.100.102","TCP","134","8888  >  65382 [PSH, ACK] Seq=3096 Ack=283 Win=14600 Len=80"
"89","9.402313","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=283 Ack=3176 Win=65280 Len=0"
"90","9.405354","192.168.100.1","192.168.100.102","TCP","174","8888  >  65382 [PSH, ACK] Seq=3176 Ack=283 Win=14600 Len=120"
"91","9.447562","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=283 Ack=3296 Win=65024 Len=0"
"92","9.450505","192.168.100.1","192.168.100.102","TCP","134","8888  >  65382 [PSH, ACK] Seq=3296 Ack=283 Win=14600 Len=80"
"93","9.494518","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=283 Ack=3376 Win=65024 Len=0"
"94","9.497240","192.168.100.1","192.168.100.102","TCP","134","8888  >  65382 [PSH, ACK] Seq=3376 Ack=283 Win=14600 Len=80"
"95","9.541276","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=283 Ack=3456 Win=65024 Len=0"
"96","9.544352","192.168.100.1","192.168.100.102","TCP","134","8888  >  65382 [PSH, ACK] Seq=3456 Ack=283 Win=14600 Len=80"
"97","9.587748","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=283 Ack=3536 Win=64768 Len=0"
"98","9.592095","192.168.100.1","192.168.100.102","TCP","174","8888  >  65382 [PSH, ACK] Seq=3536 Ack=283 Win=14600 Len=120"
"99","9.634172","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=283 Ack=3656 Win=64768 Len=0"
"100","9.637060","192.168.100.1","192.168.100.102","TCP","134","8888  >  65382 [PSH, ACK] Seq=3656 Ack=283 Win=14600 Len=80"
"101","9.681021","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=283 Ack=3736 Win=64768 Len=0"
"102","9.683675","192.168.100.1","192.168.100.102","TCP","134","8888  >  65382 [PSH, ACK] Seq=3736 Ack=283 Win=14600 Len=80"
"103","9.728291","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=283 Ack=3816 Win=64512 Len=0"
"104","9.731303","192.168.100.1","192.168.100.102","TCP","134","8888  >  65382 [PSH, ACK] Seq=3816 Ack=283 Win=14600 Len=80"
"105","9.775278","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=283 Ack=3896 Win=64512 Len=0"
"106","9.778154","192.168.100.1","192.168.100.102","TCP","174","8888  >  65382 [PSH, ACK] Seq=3896 Ack=283 Win=14600 Len=120"
"107","9.821819","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=283 Ack=4016 Win=64512 Len=0"
"108","9.826207","192.168.100.1","192.168.100.102","TCP","134","8888  >  65382 [PSH, ACK] Seq=4016 Ack=283 Win=14600 Len=80"
"109","9.868737","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=283 Ack=4096 Win=64256 Len=0"
"110","9.871525","192.168.100.1","192.168.100.102","TCP","134","8888  >  65382 [PSH, ACK] Seq=4096 Ack=283 Win=14600 Len=80"
"111","9.915752","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=283 Ack=4176 Win=64256 Len=0"
"112","9.918787","192.168.100.1","192.168.100.102","TCP","174","8888  >  65382 [PSH, ACK] Seq=4176 Ack=283 Win=14600 Len=120"
"113","9.960573","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=283 Ack=4296 Win=64000 Len=0"
"114","9.963543","192.168.100.1","192.168.100.102","TCP","134","8888  >  65382 [PSH, ACK] Seq=4296 Ack=283 Win=14600 Len=80"
"115","10.006812","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=283 Ack=4376 Win=64000 Len=0"
"116","10.009943","192.168.100.1","192.168.100.102","TCP","174","8888  >  65382 [PSH, ACK] Seq=4376 Ack=283 Win=14600 Len=120"
"117","10.054115","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=283 Ack=4496 Win=65280 Len=0"
"118","10.057363","192.168.100.1","192.168.100.102","TCP","134","8888  >  65382 [PSH, ACK] Seq=4496 Ack=283 Win=14600 Len=80"
"119","10.101301","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=283 Ack=4576 Win=65280 Len=0"
"120","10.103993","192.168.100.102","192.168.100.1","DNS","94","Standard query 0x0010 A p2p-hkg1.discovery.steamserver.net"
"121","10.135178","192.168.100.102","192.168.100.1","UDP","51","54930  >  8085 Len=9"
"122","10.203403","192.168.100.1","192.168.100.102","ICMP","98","Echo (ping) request  id=0x6924, seq=0/0, ttl=64 (reply in 123)"
"123","10.203801","192.168.100.102","192.168.100.1","ICMP","98","Echo (ping) reply    id=0x6924, seq=0/0, ttl=128 (request in 122)"
"124","10.267571","192.168.100.1","192.168.100.255","UDP","86","46573  >  8668 Len=44"
"125","10.308252","192.168.100.1","192.168.100.102","TCP","744","8888  >  65382 [PSH, ACK] Seq=4576 Ack=283 Win=14600 Len=690"
"126","10.351637","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=283 Ack=5266 Win=64512 Len=0"
"127","10.354993","192.168.100.1","192.168.100.102","TCP","174","8888  >  65382 [PSH, ACK] Seq=5266 Ack=283 Win=14600 Len=120"
"128","10.396806","192.168.100.102","192.168.100.1","TCP","54","65382  >  8888 [ACK] Seq=283 Ack=5386 Win=64512 Len=0"
