"No.","Time","Source","Destination","Protocol","Length","Info"
"128","3.416476","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=7431 Ack=1 Win=1825 Len=80"
"129","3.459293","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=7511 Win=13862 Len=0"
"130","3.462942","192.168.100.1","192.168.100.102","TCP","174","8888  >  64383 [PSH, ACK] Seq=7511 Ack=1 Win=1825 Len=120"
"131","3.506256","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=7631 Win=13742 Len=0"
"132","3.510646","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=7631 Ack=1 Win=1825 Len=80"
"133","3.554095","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=7711 Win=13662 Len=0"
"134","3.556874","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=7711 Ack=1 Win=1825 Len=80"
"135","3.601956","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=7791 Win=13582 Len=0"
"136","3.604940","192.168.100.1","192.168.100.102","TCP","174","8888  >  64383 [PSH, ACK] Seq=7791 Ack=1 Win=1825 Len=120"
"137","3.649888","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=7911 Win=13462 Len=0"
"138","3.654120","192.168.100.1","192.168.100.102","TCP","238","8888  >  64383 [PSH, ACK] Seq=7911 Ack=1 Win=1825 Len=184"
"139","3.695943","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=8095 Win=13278 Len=0"
"140","3.698639","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=8095 Ack=1 Win=1825 Len=80"
"141","3.741836","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=8175 Win=13198 Len=0"
"142","3.745019","192.168.100.1","192.168.100.102","TCP","174","8888  >  64383 [PSH, ACK] Seq=8175 Ack=1 Win=1825 Len=120"
"143","3.787991","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=8295 Win=13078 Len=0"
"144","3.791710","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=8295 Ack=1 Win=1825 Len=80"
"145","3.832627","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=8375 Win=12998 Len=0"
"146","3.835627","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=8375 Ack=1 Win=1825 Len=80"
"147","3.879414","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=8455 Win=12918 Len=0"
"148","3.974096","192.168.100.1","192.168.100.102","ICMP","98","Echo (ping) request  id=0x394a, seq=0/0, ttl=64 (reply in 149)"
"149","3.974590","192.168.100.102","192.168.100.1","ICMP","98","Echo (ping) reply    id=0x394a, seq=0/0, ttl=128 (request in 148)"
"150","4.030189","192.168.100.1","192.168.100.255","UDP","86","46573  >  8668 Len=44"
"151","4.087189","192.168.100.1","192.168.100.102","TCP","680","8888  >  64383 [PSH, ACK] Seq=8455 Ack=1 Win=1825 Len=626"
"152","4.128264","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=9081 Win=12292 Len=0"
"153","4.131521","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=9081 Ack=1 Win=1825 Len=80"
"154","4.175064","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=9161 Win=12212 Len=0"
"155","4.178427","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=9161 Ack=1 Win=1825 Len=80"
"156","4.221497","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=9241 Win=12132 Len=0"
"157","4.225513","192.168.100.1","192.168.100.102","TCP","174","8888  >  64383 [PSH, ACK] Seq=9241 Ack=1 Win=1825 Len=120"
"158","4.267216","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=9361 Win=12012 Len=0"
"159","4.270693","192.168.100.1","192.168.100.102","TCP","94","8888  >  64383 [PSH, ACK] Seq=9361 Ack=1 Win=1825 Len=40"
"160","4.312761","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=9401 Win=11972 Len=0"
"161","4.315776","192.168.100.1","192.168.100.102","TCP","174","8888  >  64383 [PSH, ACK] Seq=9401 Ack=1 Win=1825 Len=120"
"162","4.359423","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=9521 Win=11852 Len=0"
"163","4.362693","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=9521 Ack=1 Win=1825 Len=80"
"164","4.406292","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=9601 Win=11772 Len=0"
"165","4.409196","192.168.100.1","192.168.100.102","TCP","174","8888  >  64383 [PSH, ACK] Seq=9601 Ack=1 Win=1825 Len=120"
"166","4.452202","192.168.100.102","192.168.100.1","TCP","54","64383  >  8888 [ACK] Seq=1 Ack=9721 Win=11652 Len=0"
"167","4.455128","192.168.100.1","192.168.100.102","TCP","134","8888  >  64383 [PSH, ACK] Seq=9721 Ack=1 Win=1825 Len=80"
